"feature","abs_cor_with_dx","dataset","suspicious","interpretation"
"dx_leak_numeric",1,"outcome_leakage_error",TRUE,"Near-perfect association with outcome; inspect for label leakage."
"dx_leak_almost_numeric",0.999997663450845,"outcome_leakage_error",TRUE,"Near-perfect association with outcome; inspect for label leakage."
"otu00002",0.176209531873979,"outcome_leakage_error",FALSE,"No near-perfect outcome association."
"otu00008",0.171813310099892,"outcome_leakage_error",FALSE,"No near-perfect outcome association."
"otu00010",0.137380786946091,"outcome_leakage_error",FALSE,"No near-perfect outcome association."
"otu00005",0.11933023584771,"outcome_leakage_error",FALSE,"No near-perfect outcome association."
"otu00004",0.0936165197252513,"outcome_leakage_error",FALSE,"No near-perfect outcome association."
"otu00006",0.0874262796142563,"outcome_leakage_error",FALSE,"No near-perfect outcome association."
"otu00001",0.0732112347847942,"outcome_leakage_error",FALSE,"No near-perfect outcome association."
"otu00003",0.0608715153219517,"outcome_leakage_error",FALSE,"No near-perfect outcome association."
"otu00009",0.034862438457924,"outcome_leakage_error",FALSE,"No near-perfect outcome association."
"otu00007",0.0253349255539624,"outcome_leakage_error",FALSE,"No near-perfect outcome association."
